id,name_ko,name_en,lat,lon
ungcheon,웅천,Ungcheon,36.2357146,126.606867
waegwan,왜관,Waegwan,35.9923147,128.400462
wangsimni,왕십리,Wangsimni,37.5612434,127.038611
wansa,완사,Wansa,35.1346969,127.9772963
wolleung,원릉,Wolleung,37.6627045,126.8399638
wolpo,월포,Wolpo,36.203929,129.3663864
wondong,원동,Wondong,35.3626707,128.9205179
wonju,원주,Wonju,37.3164128,127.9218882
yangdong,양동,Yangdong,37.4202886,127.754766
yangmok,약목,Yangmok,36.0374413,128.3644772
yangpyeong,양평,Yangpyeong,37.4928294,127.4918889
yangwon,양원,Yangwon,36.9638637,129.0914199
yecheon,예천,Yecheon,36.6471891,128.443716
yedang,예당,Yedang,34.7784875,127.2024556
yemi,예미,Yemi,37.2126434,128.6481534
yeocheon,여천,Yeocheon,34.7794718,127.6641408
yeongam,영암,Yeongam,34.758598,126.5308942
yeongcheon,영천,Yeongcheon,35.9590572,128.9391909
yeongdeok,영덕,Yeongdeok,36.4105175,129.3782574
yeongdeungpo,영등포,Yeongdeungpo,37.5156732,126.9074775
yeongdong,영동,Yeongdong,36.1725667,127.7861195
yeonghae,영해,Yeonghae,36.5385722,129.396866
yeongju,영주,Yeongju,36.8108259,128.6255993
yeongwol,영월,Yeongwol,37.182122,128.4809628
yeonpung,연풍,Yeonpung,36.7864145,128.0183103
yeonsan,연산,Yeonsan,36.211919,127.2007869
yeosu_expo,여수엑스포,Yeosu-Expo,34.7533869,127.7486586
yesan,예산,Yesan,36.6869046,126.8284402
yonggung,용궁,Yonggung,36.6067249,128.2730632
yongmun,용문,Yongmun,37.4822415,127.5946789
yongsan,용산,Yongsan,37.5300019,126.9648513
